,Insertion Sort,Selection Sort
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,8114000
11,0,0
12,0,0
13,0,0
14,0,0
15,7988000,0
16,0,0
17,0,8141000
18,0,0
19,0,0
20,0,8099000
21,0,8000000
22,0,0
23,0,8001000
24,0,7999000
25,0,8008000
26,0,0
27,0,7994000
28,0,8003000
29,0,16014000
30,0,16019000
31,0,7995000
32,0,16495000
33,0,8107000
34,0,15990000
35,0,8011000
36,0,15998000
37,0,15916000
38,0,8075000
39,8009000,16021000
40,0,15968000
41,0,16018000
42,0,23989000
43,0,16013000
44,0,23970000
45,0,16006000
46,0,32524000
47,0,24008000
48,0,24006000
49,0,31979000
50,0,23998000
51,0,23997000
52,0,32006000
53,0,39990000
54,0,32004000
55,0,31996000
56,0,31996000
57,0,40027000
58,0,39987000
59,0,39996000
60,8008000,39782000
61,0,48046000
62,0,39957000
63,0,40005000
64,0,48599000
65,0,48002000
66,0,48004000
67,0,55991000
68,0,56002000
69,0,48006000
70,0,51729000
71,0,47992000
72,0,55997000
73,0,56039000
74,0,55958000
75,0,55996000
76,0,64016000
77,0,63997000
78,0,56008000
79,7978000,56004000
80,7999000,64003000
81,0,63993000
82,0,72002000
83,0,64005000
84,8002000,71994000
85,0,72000000
86,0,91178000
87,0,88010000
88,0,88027000
89,0,88089000
90,7919000,95955000
91,0,88019000
92,8018000,95969000
93,0,104000000
94,0,103988000
95,0,104010000
96,8016000,107739000
97,0,103998000
98,8012000,112013000
99,0,111998000
100,0,119976000
101,0,104001000
102,8000000,128008000
103,0,111987000
104,0,119919000
105,0,120114000
106,0,113586000
107,8018000,111985000
108,8001000,136135000
109,0,120397000
110,7986000,136017000
111,0,127981000
112,0,131328000
113,0,128096000
114,0,136004000
115,7990000,128016000
116,0,135994000
117,0,168058000
118,7980000,175961000
119,8065000,168613000
120,0,167883000
121,0,168564000
122,8024000,159979000
123,0,184520000
124,0,222186000
125,3638000,202144000
126,0,198537000
127,0,200809000
128,0,175997000
129,7975000,200769000
130,8139000,217801000
131,0,239997000
132,0,240722000
133,0,232237000
134,0,230462000
135,8007000,216557000
136,3509000,204744000
137,7990000,191972000
138,0,216640000
139,7997000,201659000
140,0,207991000
141,0,217095000
142,0,207995000
143,7995000,221978000
144,0,240031000
145,0,264012000
146,7967000,248005000
147,7999000,262116000
148,3430000,264736000
149,8006000,256335000
150,8000000,248007000
151,0,243425000
152,0,297141000
153,7998000,264107000
154,0,264543000
155,0,263981000
156,0,264417000
157,0,304436000
158,8038000,307533000
159,0,295980000
160,0,312498000
161,8002000,298696000
162,7997000,321041000
163,8006000,313038000
164,8000000,325939000
165,0,335655000
166,8032000,337053000
167,0,320771000
168,8004000,336005000
169,0,418142000
170,0,347387000
171,0,344110000
172,0,386465000
173,7975000,344349000
174,0,328018000
175,7988000,376393000
176,0,374644000
177,0,384269000
178,0,402975000
